Name,Organisation,Launch Site,Launch Time,Landing Time,,,,,,,,,
Shenzhou 5,CNSA,Jiuquan LA-4/SLS-1,15/10/2003 01:00:03,15/10/2003 22:22:00,0.890243056,0,21.36583333,,,,,,
Shenzhou 6,CNSA,Jiuquan LA-4/SLS-1,12/10/2005 01:00:05,16/10/2005 20:33:00,4.814525463,4,19.54861111,,,,,,
Shenzhou 7,CNSA,Jiuquan LA-4/SLS-1,25/09/2008 13:10:04,28/09/2008 09:37:00,2.852037037,2,20.44888889,,,,,,
Shenzhou 9,CNSA,"	Jiuquan LA-4/SLS-1",16/06/2012 10:37:24,29/06/2012 02:01:16,12.64157407,12,15.39777778,,,,,,
Shenzhou 10,CNSA,"	Jiuquan LA-4/SLS",11/06/2013 09:38:02,26/06/2013 00:07:00,14.60344907,14,14.48277778,,,,,,
Shenzhou 11,CNSA,Jiuquan LA-4/SLS,16/10/2016 23:30:00,18/11/2016 05:59:00,32.27013889,32,6.483333333,,,,,,
Shenzhou 12,CNSA,"Jiuquan, SLS-1",17/06/2021 01:22:27,17/09/2021 05:34:00,92.1746875,92,4.1925,,,,,,
Vostok 1,Soviet,,12/04/1961 06:07:00,12/04/1961 07:55:00,0.075,0,1.8,,,,,,
Vostok 2,Soviet,,06/08/1961 06:00:00,07/08/1961 07:18:00,1.054166667,1,1.3,,,,,,
Mercury-Atlas 6,NASA,,20/02/1962 14:47:00,20/02/1962 19:43:00,0.205555556,0,4.933333333,,,,,,
Mercury-Atlas 7,NASA,,24/05/1962 12:45:00,24/05/1962 17:41:00,0.205555556,0,4.933333333,,,,,,
Vostok 3,Soviet,,11/08/1962 08:24:00,15/08/1962 06:52:00,3.936111111,3,22.46666667,,,,,,
Vostok 4,Soviet,,12/08/1962 08:02:00,15/08/1962 06:59:00,2.95625,2,22.95,,,,,,
Mercury-Atlas 8,NASA,,03/10/1962 12:15:00,03/10/1962 21:28:00,0.384027778,0,9.216666667,,,,,,
Mercury-Atlas 9,NASA,,15/05/1963 13:04:00,16/05/1963 23:24:00,1.430555556,1,10.33333333,,,,,,
Vostok 5,Soviet,,14/06/1963 11:58:00,19/06/1963 11:06:00,4.963888889,4,23.13333333,,,,,,
Vostok 6,Soviet,,16/06/1963 09:29:00,19/06/1963 08:20:00,2.952083333,2,22.85,,,,,,
Voskhod 1,Soviet,,12/10/1964 07:30:00,13/10/1964 07:47:00,1.011805556,1,0.283333333,,,,,,
Voskhod 2,Soviet,,18/03/1965 07:00:00,19/03/1965 09:02:00,1.084722222,1,2.033333333,,,,,,
Gemini III,NASA,,23/03/1965 14:24:00,23/03/1965 19:16:00,0.202777778,0,4.866666667,,,,,,
Gemini IV,NASA,,03/06/1965 15:16:00,07/06/1965 17:12:00,4.080555556,4,1.933333333,,,,,,
Gemini V,NASA,,21/08/1965 14:00:00,29/08/1965 12:55:00,7.954861111,7,22.91666667,,,,,,
Gemini VII,NASA,,04/12/1965 19:30:00,18/12/1965 14:05:00,13.77430556,13,18.58333333,,,,,,
Gemini VI-A,NASA,,15/12/1965 13:37:00,16/12/1965 15:28:00,1.077083333,1,1.85,,,,,,
Gemini VIII,NASA,,16/03/1966 16:41:00,17/03/1966 03:22:00,0.445138889,0,10.68333333,,,,,,
Gemini IX,NASA,,03/06/1966 13:39:00,06/06/1966 13:59:00,3.013888889,3,0.333333333,,,,,,
Gemini X,NASA,,18/07/1966 22:20:00,21/07/1966 21:06:00,2.948611111,2,22.76666667,,,,,,
Gemini XI,NASA,,12/09/1966 14:42:00,15/09/1966 13:59:00,2.970138889,2,23.28333333,,,,,,
Gemini XII,NASA,,11/11/1966 20:46:00,15/11/1966 19:20:00,3.940277778,3,22.56666667,,,,,,
Soyuz 1,Soviet,,23/04/1967 00:35:00,24/04/1967 03:22:00,1.115972222,1,2.783333333,,,,,,
Apollo 7,NASA,,11/10/1968 15:02:00,22/10/1968 11:11:00,10.83958333,10,20.15,,,,,,
Soyuz 3,Soviet,,26/10/1968 08:34:00,30/10/1968 07:24:00,3.951388889,3,22.83333333,,,,,,
Apollo 8,NASA,,21/12/1968 12:51:00,27/12/1968 15:51:00,6.125,6,3,,,,,,
Soyuz 4,Soviet,,14/01/1969 07:30:00,17/01/1969 06:50:00,2.972222222,2,23.33333333,,,,,,
